,Fecha,Producto,Cantidad_Vendida,Precio_Unitario,Marca,Ingreso
697,2022-01-01,Lenovo ThinkPad X1 Carbon,1,1542.6598150860927,Lenovo,1542.6598150860927
516,2022-01-01,Dell XPS 13,5,1189.1409455409657,Dell,5945.704727704829
882,2022-01-02,Xiaomi Mi 11,12,1354.6048929584776,Xiaomi,16255.258715501732
4,2022-01-05,Asus ZenBook,3,1730.0717389877484,Asus,5190.215216963245
227,2022-01-05,OnePlus 9,17,1089.0044339712465,OnePlus,18513.07537751119
333,2022-01-06,Dell XPS 13,2,260.4973921670113,Dell,520.9947843340226
334,2022-01-06,Xiaomi Mi 11,19,914.4776919109852,Xiaomi,17375.07614630872
279,2022-01-08,Asus ZenBook,3,1197.731380715762,Asus,3593.194142147286
129,2022-01-08,Lenovo ThinkPad X1 Carbon,18,436.7454029942779,Lenovo,7861.417253897002
408,2022-01-08,OnePlus 9,5,1824.9328299656027,OnePlus,9124.664149828013
643,2022-01-09,Lenovo ThinkPad X1 Carbon,13,279.81958261221064,Lenovo,3637.654573958738
939,2022-01-09,Xiaomi Mi 11,14,798.6322853779226,Xiaomi,11180.851995290916
391,2022-01-10,Lenovo ThinkPad X1 Carbon,3,1982.4497622581591,Lenovo,5947.349286774477
342,2022-01-10,Apple MacBook Pro,17,655.4759704758133,Apple,11143.091498088825
735,2022-01-10,Apple iPhone 12,3,849.7449445673724,Apple,2549.234833702117
70,2022-01-11,HP Spectre x360,1,1840.8432822539942,HP,1840.8432822539942
194,2022-01-12,Xiaomi Mi 11,13,762.0221367497072,Xiaomi,9906.287777746194
635,2022-01-12,HP Spectre x360,9,1555.418361237726,HP,13998.765251139534
925,2022-01-12,Samsung Galaxy S21,15,217.65460648515744,Samsung,3264.819097277362
168,2022-01-13,Asus ZenBook,6,1888.4506292560413,Asus,11330.703775536247
303,2022-01-13,Apple iPhone 12,13,771.9149839117516,Apple,10034.894790852772
830,2022-01-13,Apple iPhone 12,14,1211.860018115436,Apple,16966.040253616105
537,2022-01-13,Xiaomi Mi 11,13,454.8846361033791,Xiaomi,5913.500269343928
834,2022-01-15,Apple MacBook Pro,2,1713.6648102617326,Apple,3427.329620523465
594,2022-01-16,Apple MacBook Pro,8,1716.4054834538745,Apple,13731.243867630996
812,2022-01-17,Dell XPS 13,15,486.4965285595771,Dell,7297.447928393656
628,2022-01-18,Huawei P40,8,1281.5163665586454,Huawei,10252.130932469163
316,2022-01-21,Lenovo ThinkPad X1 Carbon,8,296.7984295994936,Lenovo,2374.387436795949
357,2022-01-22,Huawei P40,16,1593.0651022499874,Huawei,25489.041635999798
711,2022-01-23,Apple iPhone 12,6,1315.4525397277346,Apple,7892.715238366407
268,2022-01-23,Lenovo ThinkPad X1 Carbon,4,1768.8453054580689,Lenovo,7075.3812218322755
917,2022-01-24,Apple MacBook Pro,15,603.9654004919596,Apple,9059.481007379394
430,2022-01-24,Apple MacBook Pro,11,1202.5071535308734,Apple,13227.578688839607
676,2022-01-26,Samsung Galaxy S21,12,1137.7721765151211,Samsung,13653.266118181455
920,2022-01-26,OnePlus 9,8,1262.7267061770312,OnePlus,10101.81364941625
520,2022-01-30,Huawei P40,14,855.4847567309887,Huawei,11976.786594233841
642,2022-01-30,Dell XPS 13,15,1827.0236113106985,Dell,27405.354169660477
346,2022-01-30,OnePlus 9,6,1302.077411713777,OnePlus,7812.464470282663
28,2022-01-30,Lenovo ThinkPad X1 Carbon,11,1765.6384764659892,Lenovo,19422.02324112588
30,2022-01-31,Xiaomi Mi 11,10,1704.81259950023,Xiaomi,17048.125995002298
608,2022-01-31,HP Spectre x360,10,1409.1823288214523,HP,14091.823288214524
440,2022-01-31,Asus ZenBook,8,1169.3159714254043,Asus,9354.527771403235
896,2022-01-31,Lenovo ThinkPad X1 Carbon,13,1015.0159460516162,Lenovo,13195.20729867101
289,2022-01-31,OnePlus 9,3,1115.9135266349122,OnePlus,3347.7405799047365
873,2022-02-01,Huawei P40,2,982.9019547332745,Huawei,1965.803909466549
580,2022-02-01,HP Spectre x360,14,1801.564066951677,HP,25221.89693732348
791,2022-02-01,OnePlus 9,19,1237.255931159466,OnePlus,23507.862692029852
51,2022-02-01,Xiaomi Mi 11,10,1282.2249043260292,Xiaomi,12822.249043260292
911,2022-02-03,Asus ZenBook,6,472.6688899769936,Asus,2836.013339861962
613,2022-02-03,Asus ZenBook,18,597.8632578811128,Asus,10761.53864186003
780,2022-02-03,Asus ZenBook,8,237.6314379204836,Asus,1901.0515033638687
228,2022-02-03,HP Spectre x360,15,1313.6372294815483,HP,19704.558442223224
600,2022-02-04,Samsung Galaxy S21,17,1167.4425161095496,Samsung,19846.522773862343
869,2022-02-05,Samsung Galaxy S21,3,1071.2825767286827,Samsung,3213.847730186048
525,2022-02-05,HP Spectre x360,16,1239.1041241468713,HP,19825.66598634994
263,2022-02-05,Apple MacBook Pro,1,1095.5360188162022,Apple,1095.5360188162022
776,2022-02-06,Xiaomi Mi 11,4,684.2250762399485,Xiaomi,2736.900304959794
946,2022-02-06,Asus ZenBook,17,1853.0629665502213,Asus,31502.07043135376
728,2022-02-06,Asus ZenBook,9,1487.345367176568,Asus,13386.108304589112
670,2022-02-07,Asus ZenBook,8,286.839421645775,Asus,2294.7153731662
499,2022-02-07,Huawei P40,13,1119.204924385821,Huawei,14549.664017015672
535,2022-02-08,HP Spectre x360,4,1594.1073914395881,HP,6376.4295657583525
781,2022-02-08,Xiaomi Mi 11,5,1912.7522816772612,Xiaomi,9563.761408386306
973,2022-02-08,Huawei P40,7,1176.3091356831192,Huawei,8234.163949781834
211,2022-02-10,Samsung Galaxy S21,9,1084.9641502006534,Samsung,9764.67735180588
962,2022-02-11,Xiaomi Mi 11,2,1873.6419553539008,Xiaomi,3747.2839107078016
500,2022-02-12,Samsung Galaxy S21,11,950.002489856171,Samsung,10450.02738841788
690,2022-02-13,OnePlus 9,14,1565.135354164309,OnePlus,21911.894958300327
527,2022-02-13,Xiaomi Mi 11,14,1574.2983357770695,Xiaomi,22040.176700878972
544,2022-02-14,Apple iPhone 12,18,899.6565760878847,Apple,16193.818369581924
504,2022-02-15,Asus ZenBook,8,379.39090439979304,Asus,3035.1272351983444
685,2022-02-15,Dell XPS 13,16,1247.9616213631175,Dell,19967.38594180988
365,2022-02-16,Apple MacBook Pro,4,1678.8648334116447,Apple,6715.459333646579
426,2022-02-16,OnePlus 9,2,1771.4307978939473,OnePlus,3542.8615957878947
965,2022-02-16,Lenovo ThinkPad X1 Carbon,3,431.4225905393296,Lenovo,1294.2677716179887
683,2022-02-18,Samsung Galaxy S21,9,286.2653167208433,Samsung,2576.3878504875897
562,2022-02-19,Apple iPhone 12,1,1873.0827609814398,Apple,1873.0827609814398
23,2022-02-19,Lenovo ThinkPad X1 Carbon,4,690.7349159615098,Lenovo,2762.9396638460394
171,2022-02-19,Dell XPS 13,10,1586.7434268140862,Dell,15867.434268140862
382,2022-02-20,Apple iPhone 12,11,644.3280295368525,Apple,7087.608324905377
978,2022-02-21,Samsung Galaxy S21,9,626.480028509141,Samsung,5638.3202565822685
991,2022-02-21,Huawei P40,17,1217.2627470024988,Huawei,20693.46669904248
178,2022-02-22,Asus ZenBook,18,1026.7284101232156,Asus,18481.11138221788
240,2022-02-22,Apple MacBook Pro,19,575.0933658616133,Apple,10926.773951370653
603,2022-02-22,Apple iPhone 12,2,1804.770541516843,Apple,3609.541083033686
45,2022-02-24,Dell XPS 13,18,1355.3715958317857,Dell,24396.688724972144
350,2022-02-24,Dell XPS 13,12,1266.3977337363372,Dell,15196.772804836046
469,2022-02-24,Samsung Galaxy S21,11,1050.703775541451,Samsung,11557.741530955962
416,2022-02-24,Huawei P40,17,1017.3116085020854,Huawei,17294.29734453545
919,2022-02-24,Asus ZenBook,16,1137.4997716056303,Asus,18199.996345690084
